Well_Name,Zone_Name,Depth,Top_Depth,Bottom_Depth,Porosity,Sw,Permeability,Vshale,Distance_to_OWC,Reservoir_Pressure,TVD_Depth,Is_Perforated,Initial_Rate,Production_Class
24P,5.1_060,2845.5928,2845.5166,2845.669,0.0684,1.0,,0.6741,0,,,False,,
24P,5.1_060,2845.7452,2845.669,2845.8214,0.0936,1.0,,0.6262,0,,,False,,
24P,5.1_060,2845.8976,2845.8214,2845.9738,0.0782,1.0,,0.5956,0,,,False,,
24P,5.1_060,2846.05,2845.9738,2846.1262,0.0729,1.0,,0.6164,0,,,False,,
24P,5.1_060,2846.2024,2846.1262,2846.2786,0.0685,1.0,,0.6329,0,,,False,,
24P,5.1_060,2846.3548,2846.2786,2846.431,0.0668,1.0,,0.6368,0,,,False,,
24P,5.1_060,2846.5072,2846.431,2846.5834,0.0657,1.0,,0.6395,0,,,False,,
24P,5.1_060,2846.6596,2846.5834,2846.7358,0.0668,1.0,,0.6388,0,,,False,,
24P,5.1_060,2846.812,2846.7358,2846.8882,0.0741,1.0,,0.6341,0,,,False,,
24P,5.1_060,2846.9644,2846.8882,2847.0406,0.0932,1.0,,0.6174,0,,,False,,
24P,5.1_060,2847.1168,2847.0406,2847.193,0.109,1.0,,0.6112,0,,,False,,
24P,5.1_060,2847.2692,2847.193,2847.3454,0.0975,1.0,,0.636,0,,,False,,
24P,5.1_060,2847.4216,2847.3454,2847.4978,0.0695,1.0,,0.6726,0,,,False,,
24P,5.1_060,2847.574,2847.4978,2847.6502,0.0273,1.0,,0.7439,0,,,False,,
24P,5.1_060,2847.7264,2847.6502,2847.8026,0.01,1.0,,0.8021,0,,,False,,
24P,5.1_060,2847.8788,2847.8026,2847.955,0.0068,1.0,,0.8216,0,,,False,,
24P,5.1_060,2848.0312,2847.955,2848.1074,0.0064,1.0,,0.8242,0,,,False,,
24P,5.1_060,2848.1836,2848.1074,2848.2598,0.016,1.0,,0.7762,0,,,False,,
24P,5.1_060,2848.336,2848.2598,2848.4122,0.03,1.0,,0.7377,0,,,False,,
24P,5.1_060,2848.4884,2848.4122,2848.5646,0.0349,1.0,,0.7274,0,,,False,,
24P,5.1_060,2848.6408,2848.5646,2848.717,0.0379,1.0,,0.7216,0,,,False,,
24P,5.1_060,2848.7932,2848.717,2848.8694,0.0339,1.0,,0.7293,0,,,False,,
24P,5.1_060,2848.9456,2848.8694,2849.0218,0.0286,1.0,,0.7408,0,,,False,,
24P,5.1_060,2849.098,2849.0218,2849.1742,0.0199,1.0,,0.7636,0,,,False,,
24P,5.1_060,2849.2504,2849.1742,2849.3266,0.0146,1.0,,0.7817,0,,,False,,
24P,5.1_060,2849.4028,2849.3266,2849.479,0.0136,1.0,,0.7855,0,,,False,,
24P,5.1_060,2849.5552,2849.479,2849.6314,0.0138,1.0,,0.7848,0,,,False,,
24P,5.1_060,2849.7076,2849.6314,2849.7838,0.0176,1.0,,0.7708,0,,,False,,
24P,5.1_060,2849.86,2849.7838,2849.9362,0.0239,1.0,,0.7525,0,,,False,,
24P,5.1_060,2850.0124,2849.9362,2850.0886,0.038,1.0,,0.7214,0,,,False,,
24P,5.1_060,2850.1648,2850.0886,2850.241,0.0585,1.0,,0.6879,0,,,False,,
24P,5.1_060,2850.3172,2850.241,2850.3934,0.089,1.0,,0.6472,0,,,False,,
24P,5.1_060,2850.4696,2850.3934,2850.5458,0.1124,1.0,,0.6149,0,,,False,,
24P,5.1_060,2850.622,2850.5458,2850.6982,0.1165,1.0,,0.6079,0,,,False,,
24P,5.1_060,2850.7744,2850.6982,2850.8506,0.1197,1.0,,0.6009,0,,,False,,
24P,5.1_060,2850.9268,2850.8506,2851.003,0.1217,1.0,,0.5942,0,,,False,,
24P,5.1_060,2851.0792,2851.003,2851.1554,0.1239,1.0,,0.587,0,,,False,,
24P,5.1_060,2851.2316,2851.1554,2851.3078,0.1265,1.0,,0.5782,0,,,False,,
24P,5.1_060,2851.384,2851.3078,2851.4602,0.1318,1.0,,0.5607,0,,,False,,
24P,5.1_060,2851.5364,2851.4602,2851.6126,0.1448,0.9241,,0.5172,0,,,False,,
24P,5.1_060,2851.6888,2851.6126,2851.765,0.1521,0.8615,,0.4931,0,,,False,,
24P,5.1_060,2851.8412,2851.765,2851.9174,0.1419,0.9033,,0.5268,0,,,False,,
24P,5.1_060,2851.9936,2851.9174,2852.0698,0.1373,0.9193,,0.5424,0,,,False,,
24P,5.1_060,2852.146,2852.0698,2852.2222,0.1488,0.8469,,0.5039,0,,,False,,
24P,5.1_060,2852.2984,2852.2222,2852.3746,0.151,0.835,,0.4772,0,,,False,,
24P,5.1_060,2852.4508,2852.3746,2852.527,0.1499,0.8456,,0.4851,0,,,False,,
24P,5.1_060,2852.6032,2852.527,2852.6794,0.1497,0.8516,,0.4904,0,,,False,,
24P,5.1_060,2852.7556,2852.6794,2852.8318,0.152,0.8436,,0.4876,0,,,False,,
24P,5.1_060,2852.908,2852.8318,2852.9842,0.1558,0.8294,,0.4783,0,,,False,,
24P,5.1_060,2853.0604,2852.9842,2853.1366,0.1621,0.8066,,0.4496,0,,,False,,
24P,5.1_060,2853.2128,2853.1366,2853.289,0.166,0.7946,,0.4331,0,,,False,,
24P,5.1_060,2853.3652,2853.289,2853.4414,0.1628,0.8102,,0.4525,0,,,False,,
24P,5.1_060,2853.5176,2853.4414,2853.5938,0.1619,0.8153,,0.4598,0,,,False,,
24P,5.1_060,2853.67,2853.5938,2853.7462,0.1675,0.7892,,0.4309,0,,,False,,
24P,5.1_060,2853.8224,2853.7462,2853.8986,0.1729,0.7643,,0.4031,0,,,False,,
24P,5.1_060,2853.9748,2853.8986,2854.051,0.1774,0.7394,,0.3787,0,,,False,,
24P,5.1_060,2854.1272,2854.051,2854.2034,0.1792,0.7267,,0.3695,0,,,False,,
24P,5.1_060,2854.2796,2854.2034,2854.3558,0.1657,0.7809,,0.4051,0,,,False,,
24P,5.1_060,2854.432,2854.3558,2854.5082,0.1527,0.8309,,0.4181,0,,,False,,
24P,5.1_060,2854.5844,2854.5082,2854.6606,0.1475,0.8151,,0.3636,0,,,False,,
24P,5.1_060,2854.7368,2854.6606,2854.813,0.1441,0.7989,,0.3184,0,,,False,,
24P,5.1_060,2854.8892,2854.813,2854.9654,0.1499,0.7495,,0.3004,0,,,False,,
24P,5.1_060,2855.0416,2854.9654,2855.1178,0.1541,0.7235,,0.3039,0,,,False,,
24P,5.1_060,2855.194,2855.1178,2855.2702,0.1532,0.7572,,0.371,0,,,False,,
24P,5.1_060,2855.3464,2855.2702,2855.4226,0.1498,0.7974,,0.4295,0,,,False,,
24P,5.1_060,2855.4988,2855.4226,2855.575,0.1409,0.8402,,0.4623,0,,,False,,
24P,5.1_060,2855.6512,2855.575,2855.7274,0.133,0.8825,,0.4817,0,,,False,,
24P,5.1_060,2855.8036,2855.7274,2855.8798,0.1277,0.9117,,0.4611,0,,,False,,
24P,5.1_060,2855.956,2855.8798,2856.0322,0.1219,0.9498,,0.4485,0,,,False,,
24P,5.1_060,2856.1084,2856.0322,2856.1846,0.1147,1.0,,0.4596,0,,,False,,
24P,5.1_060,2856.2608,2856.1846,2856.337,0.1065,1.0,,0.4821,0,,,False,,
24P,5.1_060,2856.4132,2856.337,2856.4894,0.0956,1.0,,0.5387,0,,,False,,
24P,5.1_060,2856.5656,2856.4894,2856.6418,0.0891,1.0,,0.5826,0,,,False,,
24P,5.1_060,2856.718,2856.6418,2856.7942,0.0933,1.0,,0.5889,0,,,False,,
24P,5.1_060,2856.8704,2856.7942,2856.9466,0.0978,1.0,,0.595,0,,,False,,
24P,5.1_060,2857.0228,2856.9466,2857.099,0.1034,1.0,,0.6007,0,,,False,,
24P,5.1_060,2857.1752,2857.099,2857.2514,0.1074,1.0,,0.6112,0,,,False,,
24P,5.1_060,2857.3276,2857.2514,2857.4038,0.0973,1.0,,0.6363,0,,,False,,
24P,5.2U_010_FS_Top_Main,2857.48,2857.4038,2857.5562,0.0815,1.0,,0.6568,0,,,False,,
24P,5.2U_010_FS_Top_Main,2857.6324,2857.5562,2857.7086,0.0764,1.0,,0.6634,0,,,False,,
24P,5.2U_010_FS_Top_Main,2857.7848,2857.7086,2857.861,0.0805,1.0,,0.6581,0,,,False,,
24P,5.2U_010_FS_Top_Main,2857.9372,2857.861,2858.0134,0.1111,1.0,,0.617,0,,,False,,
24P,5.2U_010_FS_Top_Main,2858.0896,2858.0134,2858.1658,0.1242,1.0,,0.5862,0,,,False,,
24P,5.2U_010_FS_Top_Main,2858.242,2858.1658,2858.3182,0.1242,1.0,,0.586,0,,,False,,
24P,5.2U_010_FS_Top_Main,2858.3944,2858.3182,2858.4706,0.125,1.0,,0.5835,0,,,False,,
24P,5.2U_010_FS_Top_Main,2858.5468,2858.4706,2858.623,0.1278,1.0,,0.5741,0,,,False,,
24P,5.2U_010_FS_Top_Main,2858.6992,2858.623,2858.7754,0.1319,1.0,,0.5604,0,,,False,,
24P,5.2U_010,2858.8516,2858.7754,2858.9278,0.1398,0.9691,,0.5341,0,,,False,,
24P,5.2U_010,2859.004,2858.9278,2859.0802,0.1467,0.918,,0.5111,0,,,False,,
24P,5.2U_010,2859.1564,2859.0802,2859.2326,0.1386,0.9585,,0.5379,0,,,False,,
24P,5.2U_010,2859.3088,2859.2326,2859.385,0.1379,0.9516,,0.5355,0,,,False,,
24P,5.2U_010,2859.4612,2859.385,2859.5374,0.1284,1.0,,0.5609,0,,,False,,
24P,5.2U_010,2859.6136,2859.5374,2859.6898,0.1219,1.0,,0.5792,0,,,False,,
24P,5.2U_010,2859.766,2859.6898,2859.8422,0.1238,1.0,,0.5764,0,,,False,,
24P,5.2U_010,2859.9184,2859.8422,2859.9946,0.1272,1.0,,0.5689,0,,,False,,
24P,5.2U_010,2860.0708,2859.9946,2860.147,0.1346,0.9652,,0.5473,0,,,False,,
24P,5.2U_010,2860.2232,2860.147,2860.2994,0.1403,0.9278,,0.5255,0,,,False,,
24P,5.2U_010,2860.3756,2860.2994,2860.4518,0.1408,0.9171,,0.5036,0,,,False,,
24P,5.2U_010,2860.528,2860.4518,2860.6042,0.1404,0.9121,,0.4798,0,,,False,,
24P,5.2U_010,2860.6804,2860.6042,2860.7566,0.1375,0.9241,,0.4507,0,,,False,,
24P,5.2U_010,2860.8328,2860.7566,2860.909,0.1345,0.9358,,0.4198,0,,,False,,
24P,5.2U_010,2860.9852,2860.909,2861.0614,0.1314,0.9454,,0.3838,0,,,False,,
24P,5.2U_010,2861.1376,2861.0614,2861.2138,0.1291,0.9452,,0.3476,0,,,False,,
24P,5.2U_010,2861.29,2861.2138,2861.3662,0.1297,0.9098,,0.311,0,,,False,,
24P,5.2U_010,2861.4424,2861.3662,2861.5186,0.1319,0.8659,,0.2761,0,,,False,,
24P,5.2U_010,2861.5948,2861.5186,2861.671,0.1388,0.7965,,0.2462,0,,,False,,
24P,5.2U_010,2861.7472,2861.671,2861.8234,0.149,0.7231,,0.2072,0,,,False,,
24P,5.2U_010,2861.8996,2861.8234,2861.9758,0.1684,0.6324,,0.141,0,,,False,,
24P,5.2U_010,2862.052,2861.9758,2862.1282,0.1855,0.5686,,0.0844,0,,,False,,
24P,5.2U_010,2862.2044,2862.1282,2862.2806,0.1959,0.5366,,0.0561,0,,,False,,
24P,5.2U_010,2862.3568,2862.2806,2862.433,0.206,0.5095,,0.034,0,,,False,,
24P,5.2U_010,2862.5092,2862.433,2862.5854,0.2149,0.4907,,0.03,0,,,False,,
24P,5.2U_010,2862.6616,2862.5854,2862.7378,0.2201,0.4871,,0.0553,0,,,False,,
24P,5.2U_010,2862.814,2862.7378,2862.8902,0.2133,0.5321,,0.1676,0,,,False,,
24P,5.2U_010,2862.9664,2862.8902,2863.0426,0.2052,0.5871,,0.2872,0,,,False,,
24P,5.2U_010,2863.1188,2863.0426,2863.195,0.1713,0.74,,0.4289,0,,,False,,
24P,5.2U_010,2863.2712,2863.195,2863.3474,0.1395,0.9508,,0.5349,0,,,False,,
24P,5.2U_010,2863.4236,2863.3474,2863.4998,0.1394,0.9649,,0.5355,0,,,False,,
24P,5.2U_010,2863.576,2863.4998,2863.6522,0.1362,1.0,,0.546,0,,,False,,
24P,5.2U_010,2863.7284,2863.6522,2863.8046,0.1242,1.0,,0.586,0,,,False,,
24P,5.2U_010,2863.8808,2863.8046,2863.957,0.1035,1.0,,0.628,0,,,False,,
24P,5.2U_010,2864.0332,2863.957,2864.1094,0.0672,1.0,,0.6756,0,,,False,,
24P,5.2U_010,2864.1856,2864.1094,2864.2618,0.0456,1.0,,0.7078,0,,,False,,
24P,5.2U_010,2864.338,2864.2618,2864.4142,0.0542,1.0,,0.6942,0,,,False,,
24P,5.2U_010,2864.4904,2864.4142,2864.5666,0.0683,1.0,,0.6742,0,,,False,,
24P,5.2U_010,2864.6428,2864.5666,2864.719,0.0983,1.0,,0.635,0,,,False,,
24P,5.2U_010,2864.7952,2864.719,2864.8714,0.1197,1.0,,0.6009,0,,,False,,
24P,5.2U_010,2864.9476,2864.8714,2865.0238,0.1255,1.0,,0.5816,0,,,False,,
24P,5.2U_010,2865.1,2865.0238,2865.1762,0.1306,1.0,,0.5647,0,,,False,,
24P,5.2U_010,2865.2524,2865.1762,2865.3286,0.1335,1.0,,0.5549,0,,,False,,
24P,5.2U_010,2865.4048,2865.3286,2865.481,0.1379,1.0,,0.5403,0,,,False,,
24P,5.2U_010,2865.5572,2865.481,2865.6334,0.1467,0.9556,,0.511,0,,,False,,
24P,5.2U_010,2865.7096,2865.6334,2865.7858,0.1542,0.9021,,0.4861,0,,,False,,
24P,5.2U_010,2865.862,2865.7858,2865.9382,0.1577,0.8699,,0.4742,0,,,False,,
24P,5.2U_010,2866.0144,2865.9382,2866.0906,0.1595,0.8536,,0.4683,0,,,False,,
24P,5.2U_010,2866.1668,2866.0906,2866.243,0.156,0.8802,,0.4801,0,,,False,,
24P,5.2U_010,2866.3192,2866.243,2866.3954,0.1514,0.9151,,0.4953,0,,,False,,
24P,5.2U_010,2866.4716,2866.3954,2866.5478,0.1436,0.9748,,0.5212,0,,,False,,
24P,5.2U_010,2866.624,2866.5478,2866.7002,0.1356,1.0,,0.5479,0,,,False,,
24P,5.2U_010,2866.7764,2866.7002,2866.8526,0.127,1.0,,0.5768,0,,,False,,
24P,5.2U_010,2866.9288,2866.8526,2867.005,0.1152,1.0,,0.6102,0,,,False,,
24P,5.2U_010,2867.0812,2867.005,2867.1574,0.0814,1.0,,0.6569,0,,,False,,
24P,5.2U_010,2867.2336,2867.1574,2867.3098,0.0537,1.0,,0.6951,0,,,False,,
24P,5.2U_010,2867.386,2867.3098,2867.4622,0.0456,1.0,,0.7079,0,,,False,,
24P,5.2U_010,2867.5384,2867.4622,2867.6146,0.0368,1.0,,0.7237,0,,,False,,
24P,5.2U_010,2867.6908,2867.6146,2867.767,0.0255,1.0,,0.7482,0,,,False,,
24P,5.2U_010,2867.8432,2867.767,2867.9194,0.024,1.0,,0.7521,0,,,False,,
24P,5.2U_010,2867.9956,2867.9194,2868.0718,0.0538,1.0,,0.6948,0,,,False,,
24P,5.2U_010,2868.148,2868.0718,2868.2242,0.081,1.0,,0.6574,0,,,False,,
24P,5.2U_010,2868.3004,2868.2242,2868.3766,0.0648,1.0,,0.679,0,,,False,,
24P,5.2U_010,2868.4528,2868.3766,2868.529,0.0564,1.0,,0.691,0,,,False,,
24P,5.2U_010,2868.6052,2868.529,2868.6814,0.0679,1.0,,0.6747,0,,,False,,
24P,5.2U_010,2868.7576,2868.6814,2868.8338,0.0764,1.0,,0.6634,0,,,False,,
24P,5.2U_010,2868.91,2868.8338,2868.9862,0.0734,1.0,,0.6674,0,,,False,,
24P,5.2U_010,2869.0624,2868.9862,2869.1386,0.0726,1.0,,0.6684,0,,,False,,
24P,5.2U_010,2869.2148,2869.1386,2869.291,0.0786,1.0,,0.6605,0,,,False,,
24P,5.2U_010,2869.3672,2869.291,2869.4434,0.0961,1.0,,0.638,0,,,False,,
24P,5.2U_010,2869.5196,2869.4434,2869.5958,0.1285,1.0,,0.5716,0,,,False,,
24P,5.2U_010,2869.672,2869.5958,2869.7482,0.147,0.9282,,0.51,0,,,False,,
24P,5.2U_010,2869.8244,2869.7482,2869.9006,0.1613,0.8522,,0.4622,0,,,False,,
24P,5.2U_010,2869.9768,2869.9006,2870.053,0.1705,0.8066,,0.4318,0,,,False,,
24P,5.2U_010,2870.1292,2870.053,2870.2054,0.1641,0.8195,,0.4532,0,,,False,,
24P,5.2U_010,2870.2816,2870.2054,2870.3578,0.1542,0.8517,,0.486,0,,,False,,
24P,5.2U_010,2870.434,2870.3578,2870.5102,0.1342,0.9524,,0.5528,0,,,False,,
24P,5.2U_010,2870.5864,2870.5102,2870.6626,0.1161,1.0,,0.5979,0,,,False,,
24P,5.2U_010,2870.7388,2870.6626,2870.815,0.1085,1.0,,0.5786,0,,,False,,
24P,5.2U_010,2870.8912,2870.815,2870.9674,0.1005,1.0,,0.57,0,,,False,,
24P,5.2U_010,2871.0436,2870.9674,2871.1198,0.0962,1.0,,0.593,0,,,False,,
24P,5.2U_010,2871.196,2871.1198,2871.2722,0.094,1.0,,0.6019,0,,,False,,
24P,5.2U_010,2871.3484,2871.2722,2871.4246,0.0941,1.0,,0.5692,0,,,False,,
24P,5.2U_010,2871.5008,2871.4246,2871.577,0.096,1.0,,0.5262,0,,,False,,
24P,5.2U_010,2871.6532,2871.577,2871.7294,0.1041,1.0,,0.4527,0,,,False,,
24P,5.2U_010,2871.8056,2871.7294,2871.8818,0.1103,0.9858,,0.3971,0,,,False,,
24P,5.2U_010,2871.958,2871.8818,2872.0342,0.1102,0.9772,,0.3946,0,,,False,,
24P,5.2U_010,2872.1104,2872.0342,2872.1866,0.1092,0.9767,,0.393,0,,,False,,
24P,5.2U_010,2872.2628,2872.1866,2872.339,0.1057,1.0,,0.3935,0,,,False,,
24P,5.2U_010,2872.4152,2872.339,2872.4914,0.1038,1.0,,0.3906,0,,,False,,
24P,5.2U_010,2872.5676,2872.4914,2872.6438,0.1067,0.976,,0.3771,0,,,False,,
24P,5.2U_010,2872.72,2872.6438,2872.7962,0.1093,0.9457,,0.3647,0,,,False,,
24P,5.2U_010,2872.8724,2872.7962,2872.9486,0.1113,0.9227,,0.3555,0,,,False,,
24P,5.2U_010,2873.0248,2872.9486,2873.101,0.1129,0.9033,,0.3477,0,,,False,,
24P,5.2U_010,2873.1772,2873.101,2873.2534,0.1136,0.8921,,0.3441,0,,,False,,
24P,5.2U_010,2873.3296,2873.2534,2873.4058,0.1149,0.8779,,0.3348,0,,,False,,
24P,5.2U_010,2873.482,2873.4058,2873.5582,0.1183,0.8553,,0.3089,0,,,False,,
24P,5.2U_010,2873.6344,2873.5582,2873.7106,0.121,0.8393,,0.2908,0,,,False,,
24P,5.2U_010,2873.7868,2873.7106,2873.863,0.1215,0.8392,,0.296,0,,,False,,
24P,5.2U_010,2873.9392,2873.863,2874.0154,0.1225,0.8368,,0.2992,0,,,False,,
24P,5.2U_010,2874.0916,2874.0154,2874.1678,0.1246,0.8275,,0.2968,0,,,False,,
24P,5.2U_010,2874.244,2874.1678,2874.3202,0.1235,0.8402,,0.3111,0,,,False,,
24P,5.2U_010,2874.3964,2874.3202,2874.4726,0.1127,0.9257,,0.3754,0,,,False,,
24P,5.2U_010,2874.5488,2874.4726,2874.625,0.1065,0.9861,,0.4194,0,,,False,,
24P,5.2U_010,2874.7012,2874.625,2874.7774,0.1137,0.9354,,0.403,0,,,False,,
24P,5.2U_010,2874.8536,2874.7774,2874.9298,0.1197,0.8984,,0.3922,0,,,False,,
24P,5.2U_010,2875.006,2874.9298,2875.0822,0.1228,0.8861,,0.3983,0,,,False,,
24P,5.2U_010,2875.1584,2875.0822,2875.2346,0.1254,0.8758,,0.401,0,,,False,,
24P,5.2U_010,2875.3108,2875.2346,2875.387,0.1271,0.8688,,0.3936,0,,,False,,
24P,5.2U_010,2875.4632,2875.387,2875.5394,0.1291,0.8526,,0.3864,0,,,False,,
24P,5.2U_010,2875.6156,2875.5394,2875.6918,0.1324,0.8112,,0.3802,0,,,False,,
24P,5.2U_010,2875.768,2875.6918,2875.8442,0.1407,0.7552,,0.3558,0,,,False,,
24P,5.2U_010,2875.9204,2875.8442,2875.9966,0.1635,0.6674,,0.2778,0,,,False,,
24P,5.2U_010,2876.0728,2875.9966,2876.149,0.1851,0.6023,,0.2044,0,,,False,,
24P,5.2U_010,2876.2252,2876.149,2876.3014,0.2025,0.5517,,0.1447,0,,,False,,
24P,5.2U_010,2876.3776,2876.3014,2876.4538,0.2109,0.532,,0.1151,0,,,False,,
24P,5.2U_010,2876.53,2876.4538,2876.6062,0.1925,0.5894,,0.1754,0,,,False,,
24P,5.2U_010,2876.6824,2876.6062,2876.7586,0.1758,0.6607,,0.2665,0,,,False,,
24P,5.2U_010,2876.8348,2876.7586,2876.911,0.1633,0.7567,,0.4493,0,,,False,,
24P,5.2U_010,2876.9872,2876.911,2877.0634,0.1232,1.0,,0.5893,0,,,False,,
24P,5.2U_010,2877.1396,2877.0634,2877.2158,0.1191,1.0,,0.6023,0,,,False,,
24P,5.2U_010,2877.292,2877.2158,2877.3682,0.1249,1.0,,0.5838,0,,,False,,
24P,5.2U_010,2877.4444,2877.3682,2877.5206,0.1585,0.8956,,0.4718,0,,,False,,
24P,5.2U_010,2877.5968,2877.5206,2877.673,0.1858,0.7644,,0.3807,0,,,False,,
24P,5.2U_010,2877.7492,2877.673,2877.8254,0.1945,0.7284,,0.3517,0,,,False,,
24P,5.2U_010,2877.9016,2877.8254,2877.9778,0.1968,0.7183,,0.344,0,,,False,,
24P,5.2U_010,2878.054,2877.9778,2878.1302,0.1801,0.7839,,0.3997,0,,,False,,
24P,5.2U_010,2878.2064,2878.1302,2878.2826,0.165,0.8581,,0.4499,0,,,False,,
24P,5.2U_010,2878.3588,2878.2826,2878.435,0.155,0.9299,,0.4835,0,,,False,,
24P,5.2U_010,2878.5112,2878.435,2878.5874,0.1425,1.0,,0.525,0,,,False,,
24P,5.2U_010,2878.6636,2878.5874,2878.7398,0.123,1.0,,0.59,0,,,False,,
24P,5.2U_010,2878.816,2878.7398,2878.8922,0.1095,1.0,,0.6193,0,,,False,,
24P,5.2U_010,2878.9684,2878.8922,2879.0446,0.1373,0.882,,0.5424,0,,,False,,
24P,5.2U_010,2879.1208,2879.0446,2879.197,0.1487,0.779,,0.5044,0,,,False,,
24P,5.2U_010,2879.2732,2879.197,2879.3494,0.1255,0.9847,,0.5817,0,,,False,,
24P,5.2U_010,2879.4256,2879.3494,2879.5018,0.0897,1.0,,0.6463,0,,,False,,
24P,5.2U_020_FS_Top,2879.578,2879.5018,2879.6542,0.0693,1.0,,0.6729,0,,,False,,
24P,5.2U_020_FS_Top,2879.7304,2879.6542,2879.8066,0.0541,1.0,,0.6944,0,,,False,,
24P,5.2U_020_FS_Top,2879.8828,2879.8066,2879.959,0.0499,1.0,,0.7009,0,,,False,,
24P,5.2U_020_FS_Top,2880.0352,2879.959,2880.1114,0.05,1.0,,0.7008,0,,,False,,
24P,5.2U_020_FS_Top,2880.1876,2880.1114,2880.2638,0.0631,1.0,,0.6813,0,,,False,,
24P,5.2U_020_FS_Top,2880.34,2880.2638,2880.4162,0.0824,1.0,,0.6556,0,,,False,,
24P,5.2U_020_FS_Top,2880.4924,2880.4162,2880.5686,0.1143,1.0,,0.6117,0,,,False,,
24P,5.2U_020_FS_Top,2880.6448,2880.5686,2880.721,0.1293,1.0,,0.569,0,,,True,2.8,POOR
24P,5.2U_020,2880.7972,2880.721,2880.8734,0.141,0.9156,,0.5301,0,,,True,2.8,POOR
24P,5.2U_020,2880.9496,2880.8734,2881.0258,0.1506,0.8289,,0.498,0,,,True,2.8,POOR
24P,5.2U_020,2881.102,2881.0258,2881.1782,0.1526,0.8018,,0.4857,0,,,True,2.8,POOR
24P,5.2U_020,2881.2544,2881.1782,2881.3306,0.1474,0.8169,,0.4743,0,,,True,2.8,POOR
24P,5.2U_020,2881.4068,2881.3306,2881.483,0.1407,0.8503,,0.4649,0,,,True,2.8,POOR
